,topic_id,query,result,persona
0,310,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Radio Waves and Brain Cance.
Description: Evidence that radio waves from radio towers or car (mobile) phones affect brain cancer occurrence.","{'keywords': ['radio waves', 'brain cancer', 'mobile phones'], 'questions': {'1': 'What is brain cancer?', '2': 'How do radio waves affect?', '3': 'What is mobile phone?', '4': 'What are radio towers?', '5': 'What is the evidence?'}, 'queries': {'1': 'Brain cancer definition', '2': 'Radio waves impact brain', '3': 'Mobile phone explanation', '4': 'Radio tower definition', '5': 'Evidence of radio waves'}}",Karen
1,321,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Women in Parliaments.
Description: Pertinent documents will reflect the fact that women continue to be poorly represented in parliaments across the world, and the gap in political power between the sexes is very wide, particularly in the Third World.","{'keywords': ['women', 'parliaments', 'representation'], 'questions': {'1': ""What is women's representation?"", '2': 'How are women represented?', '3': 'What is the gender gap?', '4': 'What is the Third World?', '5': 'What is political power?'}, 'queries': {'1': ""Women's representation in parliaments"", '2': 'How women are represented in politics', '3': 'Gender gap in parliaments', '4': 'Third World women in politics', '5': 'Political power gender gap'}}",Karen
2,341,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Airport Security.
Description: A relevant document would discuss the effectiveness of efforts to better scrutinize passengers and luggage on all flights, but particularly international flights.","{'keywords': ['airport security', 'international flights', 'passenger scrutiny'], 'questions': {'1': 'How effective is airport security?', '2': 'What are the efforts to scrutinize passengers?', '3': 'How are international flights secured?'}, 'queries': {'1': 'Airport security effectiveness', '2': 'Passenger scrutiny efforts', '3': 'International flight security measures', '4': 'Airport security measures', '5': 'Passenger screening procedures', '6': 'International flight safety protocols', '7': 'Airport security technology', '8': 'Passenger background checks', '9': 'International flight security risks', '10': 'Airport security challenges'}}",Karen
3,336,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Black Bear Attacks.
Description: A relevant document would discuss the frequency of vicious black bear attacks worldwide and the possible causes for this savage behavior.","{'keywords': ['black bear attacks', 'frequency', 'causes'], 'questions': {'1': 'How often do black bears attack?', '2': 'What causes black bear attacks?', '3': 'Where do black bear attacks occur?', '4': 'How can black bear attacks be prevented?', '5': 'What are the consequences of black bear attacks?', '6': 'What is the history of black bear attacks?', '7': 'What are the signs of an impending black bear attack?', '8': 'What should you do if you encounter a black bear?', '9': 'What is the survival rate of black bear attack victims?', '10': 'What is the psychology behind black bear attacks?'}, 'queries': {'1': 'Frequency of black bear attacks', '2': 'Causes of black bear attacks', '3': 'Locations of black bear attacks', '4': 'Preventing black bear attacks', '5': 'Consequences of black bear attacks', '6': 'History of black bear attacks', '7': 'Signs of black bear attacks', '8': 'Encountering black bears safely', '9': 'Survival rate of attacks', '10': 'Psychology of bear attacks'}}",Karen
4,347,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Wildlife Extinction.
Description: The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?","{'keywords': ['wildlife extinction', 'efforts', 'other countries'], 'questions': {'1': 'What countries protect wildlife?', '2': 'Which countries prevent extinction?', '3': 'What countries conserve species?', '4': 'What countries save wildlife?', '5': 'Which countries prevent decline?', '6': 'What countries preserve animals?', '7': 'What countries protect endangered species?', '8': 'Which countries prevent wildlife extinction?', '9': 'What countries prevent animal extinction?', '10': 'Which countries save endangered species?'}, 'queries': {'1': 'Wildlife protection countries', '2': 'Preventing extinction countries', '3': 'Species conservation countries', '4': 'Wildlife saving countries', '5': 'Decline prevention countries', '6': 'Animal preservation countries', '7': 'Endangered species protection countries', '8': 'Wildlife extinction prevention countries', '9': 'Animal extinction prevention countries', '10': 'Endangered species saving countries'}}",Karen
5,325,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Cult Lifestyles.
Description: Describe a cult by name and identify the cult members' activities in their everyday life.","{'keywords': ['cult', 'lifestyle', 'members'], 'questions': {'1': 'What is a cult?', '2': 'What is cult lifestyle?', '3': 'What are cult members?', '4': 'What are cult activities?', '5': 'What is a specific cult?', '6': 'What are cult beliefs?', '7': 'What is cult recruitment?', '8': 'What is cult control?', '9': 'What is cult influence?', '10': 'What is cult harm?'}, 'queries': {'1': 'Define cult', '2': 'Describe cult lifestyle', '3': 'Who are cult members?', '4': 'List cult activities', '5': 'Name a cult', '6': 'Explain cult beliefs', '7': 'How is cult recruitment done?', '8': 'How is cult control exerted?', '9': 'What is cult influence?', '10': 'What harm do cults cause?'}}",Karen
6,330,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Iran-Iraq Cooperation.
Description: This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.","{'keywords': ['Iran', 'Iraq', 'cooperation'], 'questions': {'1': 'What is Iran-Iraq cooperation?', '2': 'What are examples of cooperation?', '3': 'How are they allies?', '4': 'What are friendly ties?', '5': 'What is their relationship?', '6': 'What is their history?', '7': 'What are the benefits?', '8': 'What are the challenges?', '9': 'What is the impact?', '10': 'What is the future?'}, 'queries': {'1': 'Define Iran-Iraq cooperation', '2': 'Give examples of cooperation', '3': 'Explain their alliance', '4': 'Describe friendly ties', '5': 'Explain their relationship', '6': 'Outline their history', '7': 'List the benefits', '8': 'Identify the challenges', '9': 'Explain the impact', '10': 'Predict the future'}}",Karen
7,344,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Abuses of E-Mail.
Description: The availability of E-mail to many people through their job or school affiliation has allowed for many efficiencies in communications but also has provided the opportunity for abuses. What steps have been taken world-wide by those bearing the cost of E-mail to prevent excesses?","{'keywords': ['E-mail', 'abuses', 'prevention'], 'questions': {'1': 'What are E-mail abuses?', '2': 'How is E-mail abused?', '3': 'What is E-mail prevention?', '4': 'What are the costs of E-mail?', '5': 'What steps have been taken?', '6': 'Who bears the cost?', '7': 'What is done world-wide?', '8': 'What are the efficiencies?', '9': 'What is the impact?', '10': 'What are the consequences?'}, 'queries': {'1': 'Define E-mail abuses', '2': 'E-mail abuse examples', '3': 'E-mail prevention methods', '4': 'Costs of E-mail usage', '5': 'Steps taken to prevent E-mail abuse', '6': 'Who pays for E-mail usage?', '7': 'World-wide E-mail prevention', '8': 'Efficiencies of E-mail usage', '9': 'Impact of E-mail abuse', '10': 'Consequences of E-mail abuse'}}",Karen
8,350,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Health and Computer Terminals.
Description: Is it hazardous to the health of individuals to work with computer terminals on a daily basis?","{'keywords': ['health', 'computer terminals', 'hazardous'], 'questions': {'1': 'What are health risks?', '2': 'How to prevent hazards?', '3': 'What are symptoms?', '4': 'What are long-term effects?', '5': 'What are safety guidelines?'}, 'queries': {'1': 'Health risks computer terminals', '2': 'Prevent hazards computer terminals', '3': 'Symptoms computer terminal use', '4': 'Long-term effects computer terminals', '5': 'Safety guidelines computer terminals'}}",Karen
9,345,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested in given their profession working for the church board. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Overseas Tobacco Sales.
Description: Health studies primarily in the U.S. have caused reductions in tobacco sales here, but the economic impact has caused U.S. tobacco companies to look overseas for customers. What impact have the health and economic factors had overseas?","{'keywords': ['overseas tobacco sales', 'health impact', 'economic impact'], 'questions': {'1': 'What is the impact of overseas tobacco sales?', '2': 'How has health impacted overseas tobacco sales?', '3': 'What is the economic impact of overseas tobacco sales?', '4': 'How have U.S. tobacco companies impacted overseas sales?', '5': 'What is the impact of U.S. health studies on overseas sales?', '6': 'How have overseas regulations impacted tobacco sales?', '7': 'What is the impact of tobacco advertising overseas?', '8': 'How have cultural attitudes impacted overseas tobacco sales?', '9': 'What is the impact of taxation on overseas tobacco sales?', '10': 'How have tobacco control policies impacted overseas sales?'}, 'queries': {'1': 'Impact of overseas sales?', '2': 'Health impact on sales?', '3': 'Economic impact of sales?', '4': 'U.S. companies overseas?', '5': 'Impact of U.S. studies?', '6': 'Overseas regulations impact?', '7': 'Tobacco advertising impact?', '8': 'Cultural attitudes impact?', '9': 'Taxation impact on sales?', '10': 'Tobacco control policies impact?'}}",Karen
