,Unnamed: 0,index,queries,topic,persona
0,0,1,radio waves,1,edith
1,1,2,brain cancer,1,edith
2,2,3,incidence brain cancer general population,1,edith
3,3,4,incidence brain cancer radio towers,1,edith
4,4,5,incidence brain cancer mobile phones,1,edith
5,5,6,direct association radio waves brain cancer,1,edith
6,6,7,experiments radio waves brain cancer,1,edith
7,7,8,statistical studies radio waves brain cancer,1,edith
8,8,9,articles brain cancer radio towers mobile phones,1,edith
9,9,10,news items brain cancer radio towers mobile phones,1,edith
10,0,1,women parliament representation,2,edith
11,1,2,countries mandate women legislatures,2,edith
12,2,3,female representation trend legislatures,2,edith
13,3,4,no women representation legislatures,2,edith
14,4,5,women representation Third World,2,edith
15,5,6,political power gap sexes,2,edith
16,6,7,history women parliaments,2,edith
17,7,8,challenges women parliaments,2,edith
18,8,9,benefits women parliaments,2,edith
19,9,10,increase women representation parliaments,2,edith
20,0,1,cult,3,edith
21,1,2,cults,3,edith
22,2,3,cult names,3,edith
23,3,4,cult member lifestyles,3,edith
24,4,5,cult member dress,3,edith
25,5,6,cult member ultimate goal,3,edith
26,6,7,cult member diet,3,edith
27,7,8,cult member contribution,3,edith
28,8,9,cult ultimate goal,3,edith
29,9,10,cult history,3,edith
30,0,1,Iran-Iraq relations history,4,edith
31,1,2,Iran-Iraq economic cooperation,4,edith
32,2,3,Iran-Iraq military cooperation,4,edith
33,3,4,Iran-Iraq religious cooperation,4,edith
34,4,5,Iran-Iraq social relations,4,edith
35,5,6,Iran-Iraq border control collaboration,4,edith
36,6,7,Iran-Iraq minorities treatment collaboration,4,edith
37,7,8,Iran-Iraq trade sanctions workaround,4,edith
38,8,9,Iran-Iraq cooperation benefits,4,edith
39,9,10,Iran-Iraq cooperation challenges,4,edith
40,0,1,black bear attack causes,5,edith
41,1,2,black bear attack attractants,5,edith
42,2,3,black bear attack frequency worldwide,5,edith
43,3,4,savage behavior in black bears,5,edith
44,4,5,wildlife officials control black bears,5,edith
