,index,queries,topic,persona
0,1,radio waves,1,edith
1,2,brain cancer,1,edith
2,3,incidence of brain cancer,1,edith
3,4,radio waves and brain cancer,1,edith
4,5,brain cancer near radio towers,1,edith
5,6,brain cancer and mobile phones,1,edith
6,7,radio waves effects on animals,1,edith
7,8,brain cancer and radio towers statistical studies,1,edith
8,9,brain cancer and mobile phones articles,1,edith
9,10,brain cancer near radio towers and mobile phones news items,1,edith
0,1,women parliament representation,2,edith
1,2,countries mandate women legislatures,2,edith
2,3,female representation trend legislatures,2,edith
3,4,countries no women representation,2,edith
4,5,women parliament Third World,2,edith
5,6,political power gap sexes,2,edith
6,7,reasons lack women representation,2,edith
7,8,consequences lack women representation,2,edith
8,9,initiatives increase women representation,2,edith
9,10,impact increasing women representation,2,edith
0,1,cult definition,3,edith
1,2,cult names,3,edith
2,3,specific cult name,3,edith
3,4,cult members lifestyles,3,edith
4,5,cult member dress,3,edith
5,6,cult ultimate goal,3,edith
6,7,cult member diet,3,edith
7,8,cult member contribution,3,edith
8,9,cult ultimate goal,3,edith
9,10,cult history,3,edith
0,1,Iran-Iraq relations history,4,edith
1,2,Iran-Iraq economic cooperation,4,edith
2,3,Iran-Iraq military cooperation,4,edith
3,4,Iran-Iraq religious cooperation,4,edith
4,5,Iran-Iraq social relations,4,edith
5,6,Iran-Iraq border control,4,edith
6,7,Iran-Iraq minorities treatment,4,edith
7,8,Iran-Iraq trade sanctions,4,edith
8,9,Iran-Iraq cooperation benefits,4,edith
9,10,Iran-Iraq cooperation drawbacks,4,edith
0,1,black bear attacks causes,5,edith
1,2,black bear attacks attraction,5,edith
2,3,scientific community opinion black bear attacks,5,edith
3,4,possible causes vicious black bear attacks,5,edith
4,5,wildlife officials control black bear attacks,5,edith
5,6,new methods modify black bears,5,edith
6,7,frequency black bear attacks worldwide,5,edith
7,8,extent black bear attacks worldwide,5,edith
8,9,consequences black bear attacks,5,edith
9,10,preventive measures black bear attacks,5,edith
0,1,airport security,6,edith
1,2,passenger screening steps,6,edith
2,3,luggage screening steps,6,edith
3,4,domestic vs international security,6,edith
4,5,terrorism concerns in airport security,6,edith
5,6,additional airport security steps,6,edith
6,7,effectiveness of new security measures,6,edith
7,8,personnel in airport security,6,edith
8,9,automated screening processes,6,edith
9,10,monitoring and screening devices,6,edith
0,1,E-mail abuse examples,7,edith
1,2,E-mail payment methods,7,edith
2,3,Desired uses of E-mail,7,edith
3,4,Preventing E-mail abuse,7,edith
4,5,Consequences of E-mail abuse,7,edith
5,6,Efficiencies of E-mail,7,edith
6,7,Non-desired communication types,7,edith
7,8,E-mail use policies,7,edith
8,9,E-mail use guidelines,7,edith
9,10,E-mail use best practices,7,edith
0,1,U.S. tobacco sales overseas,8,edith
1,2,reasons for tobacco sales,8,edith
2,3,health findings impact overseas,8,edith
3,4,aggressive marketing impact overseas,8,edith
4,5,foreign companies cooperating,8,edith
5,6,economic impact overseas,8,edith
6,7,health factors impact overseas,8,edith
7,8,economic factors impact overseas,8,edith
8,9,consequences of tobacco sales overseas,8,edith
9,10,benefits of tobacco sales overseas,8,edith
0,1,wildlife extinction,9,edith
1,2,endangered species,9,edith
2,3,countries preventing wildlife extinction,9,edith
3,4,efforts to prevent wildlife extinction,9,edith
4,5,steps to save endangered species,9,edith
5,6,endangered species current status,9,edith
6,7,causes of wildlife extinction,9,edith
7,8,consequences of wildlife extinction,9,edith
8,9,role of humans in wildlife extinction,9,edith
9,10,climate change wildlife extinction impact,9,edith
0,1,physical disorders computer terminals,10,edith
1,2,common physical disorders computer terminals,10,edith
2,3,prevalence carpel tunnel computer terminals,10,edith
3,4,prevalence cataracts computer terminals,10,edith
4,5,prevalence fatigue computer terminals,10,edith
5,6,measures alleviate health problems computer terminal use,10,edith
6,7,long-term health effects computer terminals,10,edith
7,8,short-term health effects computer terminals,10,edith
8,9,best practices reduce health risks computer terminal use,10,edith
9,10,ergonomic guidelines computer terminal use,10,edith
